"administrative_area_level_2","country","n"
NA,"Macedonia (FYROM)",36
"Srednjobanatski okrug","Serbia",26
"Nišavski okrug","Serbia",19
"Južnobački okrug","Serbia",18
"Severnobanatski okrug","Serbia",16
"Južnobanatski okrug","Serbia",15
"Braničevski okrug","Serbia",12
"Severnobački okrug","Serbia",11
"Sremski оkrug","Serbia",11
"Zapadnobački okrug","Serbia",11
"Grad Beograd","Serbia",6
"Rasinski Okrug","Serbia",6
NA,"Croatia",6
"Borski okrug","Serbia",5
"Tuzlanski kanton","Bosnia and Herzegovina",5
"Zeničko-dobojski kanton","Bosnia and Herzegovina",5
NA,"Serbia",5
NA,"Slovenia",5
"Mačvanski okrug","Serbia",4
"Unsko-sanski kanton","Bosnia and Herzegovina",4
NA,"Montenegro",4
"Općina Nijemci","Croatia",3
"Pomoravski okrug","Serbia",3
"Hercegovačko-neretvanski kanton","Bosnia and Herzegovina",2
"Jablanički okrug","Serbia",2
"Općina Lovran","Croatia",2
"Općina Opatija","Croatia",2
"Općina Velika Gorica","Croatia",2
"Pčinjski Okrug","Serbia",2
NA,"Bosnia and Herzegovina",2
"Bosansko-podrinjski kanton","Bosnia and Herzegovina",1
"Kanton 10","Bosnia and Herzegovina",1
"Kanton Sarajevo","Bosnia and Herzegovina",1
"Matulji","Croatia",1
"Općina Buje","Croatia",1
"Općina Buzet","Croatia",1
"Općina Čakovec","Croatia",1
"Općina Crikvenica","Croatia",1
"Općina Donji Vidovec","Croatia",1
"Općina Fažana","Croatia",1
"Općina Karlovac","Croatia",1
"Općina Kneževi Vinogradi","Croatia",1
"Općina Labin","Croatia",1
"Općina Marija Gorica","Croatia",1
"Općina Mursko Središće","Croatia",1
"Općina Nedelišće","Croatia",1
"Općina Novigrad","Croatia",1
"Općina Poreč","Croatia",1
"Općina Raša","Croatia",1
"Općina Rijeka","Croatia",1
"Općina Rovinj","Croatia",1
"Općina Šibenik","Croatia",1
"Općina Sveta Marija","Croatia",1
"Općina Umag","Croatia",1
"Općina Varaždinske Toplice","Croatia",1
"Općina Vrsar","Croatia",1
"Raški okrug","Serbia",1
"Srednjobosanski kanton","Bosnia and Herzegovina",1
"Zeničko-dobojska županija","Bosnia and Herzegovina",1
